CO_count,CO_mean,CO_median,CO_stdDev,month,year,zone,date,season
1518,26.1111563263583,26.2106662544752,3.0618775157719003,11.0,2021.0,Middle_Mountains,2021-11-01,Post-monsoon
1518,24.251082970964,24.257793442496098,2.7236926153732,12.0,2021.0,Middle_Mountains,2021-12-01,Winter
1518,25.2230480241434,25.2010595784145,3.1125112800925,1.0,2022.0,Middle_Mountains,2022-01-01,Winter
1518,26.0757568003562,26.064470923175,3.1524403479914,2.0,2022.0,Middle_Mountains,2022-02-01,Winter
1518,30.7544929761976,30.6927117287164,3.7727963223692003,3.0,2022.0,Middle_Mountains,2022-03-01,Pre-monsoon
1518,33.323035829891,33.3933758320564,4.4981074605094005,4.0,2022.0,Middle_Mountains,2022-04-01,Pre-monsoon
1518,31.688415296703404,32.039704557333394,3.641148249391,5.0,2022.0,Middle_Mountains,2022-05-01,Pre-monsoon
1518,32.852326172239394,33.0138938032088,3.04140833273,6.0,2022.0,Middle_Mountains,2022-06-01,Monsoon
1518,26.0313051222073,26.0925996691301,2.0023931224172,7.0,2022.0,Middle_Mountains,2022-07-01,Monsoon
1518,27.5832724899579,27.6797422193393,1.988243072986,8.0,2022.0,Middle_Mountains,2022-08-01,Monsoon
1518,28.4361683707282,28.4100009599284,2.3948985591221,9.0,2022.0,Middle_Mountains,2022-09-01,Monsoon
1518,23.3182551619959,23.5303707417979,2.5421917692271996,10.0,2022.0,Middle_Mountains,2022-10-01,Post-monsoon
1518,24.5137819983706,24.4452621945963,2.9585193232875,11.0,2022.0,Middle_Mountains,2022-11-01,Post-monsoon
1518,24.5832609802094,24.3525885704154,3.1001276747633,12.0,2022.0,Middle_Mountains,2022-12-01,Winter
1518,25.1719212573372,24.864447860900597,3.4587731527629,1.0,2023.0,Middle_Mountains,2023-01-01,Winter
1518,27.9328236000987,27.9089477583364,3.9729809911359997,2.0,2023.0,Middle_Mountains,2023-02-01,Winter
1518,29.079838786539,28.747263951764,4.087437879791,3.0,2023.0,Middle_Mountains,2023-03-01,Pre-monsoon
1518,31.6347525071528,30.6385624013384,5.5754745122543,4.0,2023.0,Middle_Mountains,2023-04-01,Pre-monsoon
1518,30.2577405565857,30.4551327586432,3.500687166053,5.0,2023.0,Middle_Mountains,2023-05-01,Pre-monsoon
1518,28.5269546528338,28.5038054397668,2.7226218534645,6.0,2023.0,Middle_Mountains,2023-06-01,Monsoon
1518,27.3570949195707,27.438651721413702,2.111166609337,7.0,2023.0,Middle_Mountains,2023-07-01,Monsoon
1518,29.1174890152434,29.2066671545298,2.3908519240508,8.0,2023.0,Middle_Mountains,2023-08-01,Monsoon
1518,28.966630848912498,29.1464883340854,2.4631932997544,9.0,2023.0,Middle_Mountains,2023-09-01,Monsoon
1518,25.3428570688118,25.4275190205891,2.663775132858,10.0,2023.0,Middle_Mountains,2023-10-01,Post-monsoon
1518,24.9590988666317,24.994453339905398,2.8462174473956,11.0,2023.0,Middle_Mountains,2023-11-01,Post-monsoon
1518,26.042144440951603,26.0626893057826,3.0616612840780997,12.0,2023.0,Middle_Mountains,2023-12-01,Winter
1518,27.6203011349942,27.6555448575691,3.6821754289223,1.0,2024.0,Middle_Mountains,2024-01-01,Winter
1518,26.9295354193482,26.7934773638953,3.6689667519811,2.0,2024.0,Middle_Mountains,2024-02-01,Winter
1518,29.3375901422682,28.992126595912797,4.3856444454485,3.0,2024.0,Middle_Mountains,2024-03-01,Pre-monsoon
1518,39.334214865983405,39.1815331043522,7.080926882264199,4.0,2024.0,Middle_Mountains,2024-04-01,Pre-monsoon
1518,37.1150737139685,37.2888994937369,4.1585673477055,5.0,2024.0,Middle_Mountains,2024-05-01,Pre-monsoon
1518,35.3486968961519,35.5833030305209,3.2673328096762,6.0,2024.0,Middle_Mountains,2024-06-01,Monsoon
1518,28.9586181641373,29.075717497290597,2.200426217075,7.0,2024.0,Middle_Mountains,2024-07-01,Monsoon
1518,27.227917971862098,27.3720292414364,2.1427199452793997,8.0,2024.0,Middle_Mountains,2024-08-01,Monsoon
1518,28.758089467641202,28.898766085073998,2.1721748398851,9.0,2024.0,Middle_Mountains,2024-09-01,Monsoon
1518,27.8057113581138,27.9904568963779,2.9562380423557,10.0,2024.0,Middle_Mountains,2024-10-01,Post-monsoon
1518,27.689950748542103,27.8860062343722,3.3203222987923997,11.0,2024.0,Middle_Mountains,2024-11-01,Post-monsoon
1518,26.7350312693386,26.6747529707059,3.1849471726488,12.0,2024.0,Middle_Mountains,2024-12-01,Winter
1518,27.8740965857779,27.527163823965502,3.6042872621599,1.0,2025.0,Middle_Mountains,2025-01-01,Winter
1518,27.2732471478548,26.9215823202892,3.6280967782135,2.0,2025.0,Middle_Mountains,2025-02-01,Winter
1518,29.3847090361514,28.986996010556698,4.0641027979508,3.0,2025.0,Middle_Mountains,2025-03-01,Pre-monsoon
1518,32.5957538974059,32.7694742241802,3.9699031544427004,4.0,2025.0,Middle_Mountains,2025-04-01,Pre-monsoon
1518,31.1936585923117,31.313810359339598,3.0868421499945002,5.0,2025.0,Middle_Mountains,2025-05-01,Pre-monsoon
1518,29.3386403550236,29.3616119607775,2.6327172853213003,6.0,2025.0,Middle_Mountains,2025-06-01,Monsoon
1518,27.1042873364973,27.2543392999498,2.1369924440952,7.0,2025.0,Middle_Mountains,2025-07-01,Monsoon
1518,29.177221689858797,29.3310888427632,2.1097141280508,8.0,2025.0,Middle_Mountains,2025-08-01,Monsoon
1518,28.6031228441121,28.7141625586782,2.2560887541606998,9.0,2025.0,Middle_Mountains,2025-09-01,Monsoon
1518,24.001635827796598,24.081787556412298,2.2561724507733,10.0,2025.0,Middle_Mountains,2025-10-01,Post-monsoon
1518,23.5751756720546,23.6351829225511,2.7141017961942,11.0,2025.0,Middle_Mountains,2025-11-01,Post-monsoon
1518,23.3878074701709,23.258432594370298,2.7748003172086997,12.0,2025.0,Middle_Mountains,2025-12-01,Winter
1518,24.7355592190547,24.7274983028152,3.1758310185572003,1.0,2026.0,Middle_Mountains,2026-01-01,Winter
1518,26.175976025099303,26.0604644147818,3.7778996308868003,2.0,2026.0,Middle_Mountains,2026-02-01,Winter
1518,27.8357065757655,27.893159509176,3.7488558231311,3.0,2026.0,Middle_Mountains,2026-03-01,Pre-monsoon
1518,29.605931213043,29.4857269236649,4.039042505486201,4.0,2026.0,Middle_Mountains,2026-04-01,Pre-monsoon
1518,30.0548007574396,30.207416703594397,3.2445450775419,5.0,2026.0,Middle_Mountains,2026-05-01,Pre-monsoon
1518,28.6795087513382,28.759968852369,3.3412774533379,6.0,2026.0,Middle_Mountains,2026-06-01,Monsoon
1518,27.0055066711127,27.1273394012699,2.194637817317,7.0,2026.0,Middle_Mountains,2026-07-01,Monsoon
1507,26.6323942806816,26.5564691124386,2.5609667208599,8.0,2026.0,Middle_Mountains,2026-08-01,Monsoon
2100,33.889109793064804,33.868066130258796,3.0612693478909,1.0,2019.0,Siwalik,2019-01-01,Winter
2100,32.7465233457456,32.654825627486794,3.1303075052301,2.0,2019.0,Siwalik,2019-02-01,Winter
2100,35.9099835623383,35.7013567249718,3.8624248769857,3.0,2019.0,Siwalik,2019-03-01,Pre-monsoon
2100,39.322157595818005,39.376287873966795,3.2780084809348002,4.0,2019.0,Siwalik,2019-04-01,Pre-monsoon
2100,45.2181322407437,45.221368726493196,4.1493610581247005,5.0,2019.0,Siwalik,2019-05-01,Pre-monsoon
2100,37.7640653890792,37.6914670442318,2.3540919667099,6.0,2019.0,Siwalik,2019-06-01,Monsoon
2100,34.649842950539394,34.636630624131605,1.6845528773883,7.0,2019.0,Siwalik,2019-07-01,Monsoon
2100,32.414245469757105,32.3804745476746,1.4465575465302,8.0,2019.0,Siwalik,2019-08-01,Monsoon
2100,33.7261864815218,33.7278794780721,1.7191918140734,9.0,2019.0,Siwalik,2019-09-01,Monsoon
2100,33.2931271605256,33.1739731522699,2.3695594744140998,10.0,2019.0,Siwalik,2019-10-01,Post-monsoon
2100,34.5772686802336,34.2371552766274,3.7671958190499,11.0,2019.0,Siwalik,2019-11-01,Post-monsoon
2100,31.947631877181298,31.919264814436,3.1861006857091,12.0,2019.0,Siwalik,2019-12-01,Winter
2100,34.5293513594719,34.4715148919089,3.4424483990978,1.0,2020.0,Siwalik,2020-01-01,Winter
2100,38.02861247163359,38.0299513369615,4.0276886787154,2.0,2020.0,Siwalik,2020-02-01,Winter
2100,35.563668291022,35.5742350800204,3.4247444063749,3.0,2020.0,Siwalik,2020-03-01,Pre-monsoon
2100,39.6151883859576,39.6241281451075,3.7710874881784,4.0,2020.0,Siwalik,2020-04-01,Pre-monsoon
2100,39.1422522753902,39.1291334371874,2.6113334328319997,5.0,2020.0,Siwalik,2020-05-01,Pre-monsoon
2100,36.3834537232225,36.3269056573755,2.0694062628042,6.0,2020.0,Siwalik,2020-06-01,Monsoon
2100,34.078370202119,34.0227947028389,1.6224327087397,7.0,2020.0,Siwalik,2020-07-01,Monsoon
2100,31.7843093112488,31.7119256049743,1.4213128610605,8.0,2020.0,Siwalik,2020-08-01,Monsoon
2100,35.0413363836234,34.942310493375,1.9823676683996998,9.0,2020.0,Siwalik,2020-09-01,Monsoon
2100,34.259756711679,34.1194015308403,2.4108778831723003,10.0,2020.0,Siwalik,2020-10-01,Post-monsoon
2100,33.7218588175376,33.5115319476062,2.7185478676618002,11.0,2020.0,Siwalik,2020-11-01,Post-monsoon
2100,35.8442639655403,35.709199056813006,3.4303901593372,12.0,2020.0,Siwalik,2020-12-01,Winter
2100,39.428624362475695,39.2566952928129,4.5207620865828,1.0,2021.0,Siwalik,2021-01-01,Winter
2100,40.9378841510566,40.9550060925269,4.1507378344697,2.0,2021.0,Siwalik,2021-02-01,Winter
2100,45.8327350064171,45.351020530954,4.5617246556826,3.0,2021.0,Siwalik,2021-03-01,Pre-monsoon
2100,52.9834537853509,52.6182579034556,5.1056900750128005,4.0,2021.0,Siwalik,2021-04-01,Pre-monsoon
2100,37.7054051350856,37.7716984757197,2.5059413514826003,5.0,2021.0,Siwalik,2021-05-01,Pre-monsoon
2100,36.4714464923208,36.4090590932373,2.4531221259741,6.0,2021.0,Siwalik,2021-06-01,Monsoon
2100,33.92920138063641,33.780421806523904,1.9879735375663001,7.0,2021.0,Siwalik,2021-07-01,Monsoon
2100,35.360116863988395,35.3688646971113,1.7902740568377,8.0,2021.0,Siwalik,2021-08-01,Monsoon
2100,31.249388955706802,31.1619311677154,1.6275967242129,9.0,2021.0,Siwalik,2021-09-01,Monsoon
2100,33.6124940156485,33.4736357437677,2.6050208491115,10.0,2021.0,Siwalik,2021-10-01,Post-monsoon
2100,33.6834844072656,33.6278839993671,3.1956244518161,11.0,2021.0,Siwalik,2021-11-01,Post-monsoon
2100,30.8418934731855,30.7314378101422,2.6219622269196,12.0,2021.0,Siwalik,2021-12-01,Winter
2100,32.713137790294,32.7797984971364,3.1261736172298997,1.0,2022.0,Siwalik,2022-01-01,Winter
2100,34.0510125206715,33.872940282395795,3.4093247038106997,2.0,2022.0,Siwalik,2022-02-01,Winter
2100,39.099651900137495,39.003961924337794,3.6895815710943,3.0,2022.0,Siwalik,2022-03-01,Pre-monsoon
2100,43.6320182587815,43.885618524581496,3.5113861545604,4.0,2022.0,Siwalik,2022-04-01,Pre-monsoon
2100,39.6442475267946,39.4994142483265,2.8754478416213,5.0,2022.0,Siwalik,2022-05-01,Pre-monsoon
2100,39.7446251550663,39.6149439367259,2.9070323655977997,6.0,2022.0,Siwalik,2022-06-01,Monsoon
