O3_count,O3_mean,O3_median,O3_stdDev,month,year,zone,date,season
2100,122.3971411571678,122.41954480065701,0.9041469342618156,6.0,2020.0,Siwalik,2020-06-01,Monsoon
2100,119.22481080260421,119.2465774146763,0.829553243077513,7.0,2020.0,Siwalik,2020-07-01,Monsoon
2100,117.810766057597,117.81447670269719,0.6508367437607157,8.0,2020.0,Siwalik,2020-08-01,Monsoon
2100,118.50316662727151,118.5150958909619,0.7871269381489465,9.0,2020.0,Siwalik,2020-09-01,Monsoon
2100,113.43087349951871,113.41905914846339,0.8280492448112211,10.0,2020.0,Siwalik,2020-10-01,Post-monsoon
2100,118.7764533360629,118.7900485384452,0.8518059073165324,11.0,2020.0,Siwalik,2020-11-01,Post-monsoon
2100,116.1771308638451,116.2252402955074,0.8202993776286006,12.0,2020.0,Siwalik,2020-12-01,Winter
2100,112.0619759926438,112.0136953384929,1.3130542941604,1.0,2021.0,Siwalik,2021-01-01,Winter
2100,127.5610195096549,127.6106531073308,1.1982474526279,2.0,2021.0,Siwalik,2021-02-01,Winter
2100,124.8844012035815,125.22821954778601,1.4642095572415001,3.0,2021.0,Siwalik,2021-03-01,Pre-monsoon
2100,130.0777381460705,130.4626892125392,1.718330084635,4.0,2021.0,Siwalik,2021-04-01,Pre-monsoon
2100,127.1160262880173,127.15199401077179,1.1147601251360002,5.0,2021.0,Siwalik,2021-05-01,Pre-monsoon
2100,124.6597412013251,124.6786144440355,0.9103879575548616,6.0,2021.0,Siwalik,2021-06-01,Monsoon
