SO2_count,SO2_mean,SO2_median,SO2_stdDev,month,year,zone,date,season
1398,12.551588527943089,20.617285261439317,83.26242736178712,5.0,2026.0,Middle_Mountains,2026-05-01,Pre-monsoon
1446,21.49814813213277,17.29567324417821,66.96570972784147,6.0,2026.0,Middle_Mountains,2026-06-01,Monsoon
1018,28.87187516299457,28.283978574516755,83.57913733753566,7.0,2026.0,Middle_Mountains,2026-07-01,Monsoon
148,9.13000619121067,16.500239155563023,81.73079910029469,8.0,2026.0,Middle_Mountains,2026-08-01,Monsoon
2100,129.49825396173281,125.51438738004275,134.17934162065998,1.0,2019.0,Siwalik,2019-01-01,Winter
2097,76.0337252267258,74.83667199261318,116.53029380919764,2.0,2019.0,Siwalik,2019-02-01,Winter
2093,70.97066723988505,70.71564420618404,79.73747497133868,3.0,2019.0,Siwalik,2019-03-01,Pre-monsoon
2096,26.615153687905735,24.679259171703976,64.05083026916674,4.0,2019.0,Siwalik,2019-04-01,Pre-monsoon
2100,0.15021562455733875,-0.7058170049075756,54.706890961453006,5.0,2019.0,Siwalik,2019-05-01,Pre-monsoon
2100,-26.99618833272189,-28.57540746607783,54.05660566445639,6.0,2019.0,Siwalik,2019-06-01,Monsoon
2100,-53.60738924315072,-51.3381588407842,53.47496461588148,7.0,2019.0,Siwalik,2019-07-01,Monsoon
2100,-23.4544823291455,-23.901039765081627,58.33616789736599,8.0,2019.0,Siwalik,2019-08-01,Monsoon
2100,-11.061564531059341,-9.654830822408796,74.22056001845945,9.0,2019.0,Siwalik,2019-09-01,Monsoon
2097,-4.262783849604216,-4.856742535821364,63.40071805796547,10.0,2019.0,Siwalik,2019-10-01,Post-monsoon
2100,24.68919266300079,18.748252590008256,117.91680026722788,11.0,2019.0,Siwalik,2019-11-01,Post-monsoon
2100,367.233597284876,362.47991797893116,198.78156946250726,12.0,2019.0,Siwalik,2019-12-01,Winter
2097,250.54283448969608,236.54434721700306,219.642090639896,1.0,2020.0,Siwalik,2020-01-01,Winter
2098,63.349500325632384,57.23166815058129,139.75484832007868,2.0,2020.0,Siwalik,2020-02-01,Winter
2092,42.34743530192773,43.846306470609484,87.39936910962828,3.0,2020.0,Siwalik,2020-03-01,Pre-monsoon
2093,40.710159882349096,39.688187334797,87.21711467603353,4.0,2020.0,Siwalik,2020-04-01,Pre-monsoon
2097,9.576211015370507,5.6978072471714185,67.88549222828418,5.0,2020.0,Siwalik,2020-05-01,Pre-monsoon
2100,-37.73608197621955,-37.07630311568488,52.2918165637609,6.0,2020.0,Siwalik,2020-06-01,Monsoon
2095,-51.63284239599977,-51.60690972536651,86.73904113768582,7.0,2020.0,Siwalik,2020-07-01,Monsoon
2085,-36.67693523793681,-34.519950710077715,103.47986914693548,8.0,2020.0,Siwalik,2020-08-01,Monsoon
2079,24.15657563015697,26.607168281657916,108.39181451044496,9.0,2020.0,Siwalik,2020-09-01,Monsoon
2100,9.188217317729077,9.554363355291743,65.52214157392704,10.0,2020.0,Siwalik,2020-10-01,Post-monsoon
2100,190.73164068741755,185.08468615766265,129.57597855242187,11.0,2020.0,Siwalik,2020-11-01,Post-monsoon
2100,389.04070055320113,384.9029099337886,180.0929148486871,12.0,2020.0,Siwalik,2020-12-01,Winter
2100,182.49771471713535,178.57107210431917,159.46257583029117,1.0,2021.0,Siwalik,2021-01-01,Winter
2100,56.02522313628578,51.47389152277789,119.76640586822182,2.0,2021.0,Siwalik,2021-02-01,Winter
2100,-1.0608593249584928,-1.7386886008876041,102.16721999807164,3.0,2021.0,Siwalik,2021-03-01,Pre-monsoon
