UVAI_count,UVAI_mean,UVAI_median,UVAI_stdDev,month,year,zone,date,season
1518,-0.3525683013719035,-0.3405937395409231,0.2201127524294209,3.0,2022.0,Middle_Mountains,2022-03-01,Pre-monsoon
1518,-0.2051112916546071,-0.2076403161870708,0.3334790276198727,4.0,2022.0,Middle_Mountains,2022-04-01,Pre-monsoon
1518,-0.7652192640055295,-0.7787161896512826,0.2348180829684765,5.0,2022.0,Middle_Mountains,2022-05-01,Pre-monsoon
1518,-0.7078132849588773,-0.710837384615595,0.2469031942480722,6.0,2022.0,Middle_Mountains,2022-06-01,Monsoon
1518,-0.7132934454918197,-0.6916017998144419,0.2428904643132958,7.0,2022.0,Middle_Mountains,2022-07-01,Monsoon
1518,-0.8286094055332458,-0.8391241460154759,0.2715086837431475,8.0,2022.0,Middle_Mountains,2022-08-01,Monsoon
1518,-0.8491746450771637,-0.8479321700845202,0.2121781471037548,9.0,2022.0,Middle_Mountains,2022-09-01,Monsoon
1518,-0.6717015472847242,-0.6601410402330921,0.1754647322759909,10.0,2022.0,Middle_Mountains,2022-10-01,Post-monsoon
1518,-0.2737431442875657,-0.2695091583401261,0.2281364119262137,11.0,2022.0,Middle_Mountains,2022-11-01,Post-monsoon
1518,-0.1388901146046247,-0.1364714642720917,0.2489213118330525,12.0,2022.0,Middle_Mountains,2022-12-01,Winter
1518,-0.2484239222454096,-0.2398880628908908,0.2323430164931992,1.0,2023.0,Middle_Mountains,2023-01-01,Winter
1518,-0.2380666164743911,-0.2456544952075671,0.2605725881417995,2.0,2023.0,Middle_Mountains,2023-02-01,Winter
1518,-0.6898400756163892,-0.6906130039566649,0.205112334060477,3.0,2023.0,Middle_Mountains,2023-03-01,Pre-monsoon
1518,-0.516252417989948,-0.5434750968432494,0.2565319494208537,4.0,2023.0,Middle_Mountains,2023-04-01,Pre-monsoon
1518,-0.5881225650854106,-0.582262071497456,0.1905124300002022,5.0,2023.0,Middle_Mountains,2023-05-01,Pre-monsoon
1518,-0.6862977201287769,-0.7070343854532543,0.2184642215957592,6.0,2023.0,Middle_Mountains,2023-06-01,Monsoon
1518,-0.7584860654127312,-0.7235496389556917,0.2730371532643589,7.0,2023.0,Middle_Mountains,2023-07-01,Monsoon
1518,-0.675012337850281,-0.6520046048201434,0.2270202760729229,8.0,2023.0,Middle_Mountains,2023-08-01,Monsoon
1518,-0.8014751347963701,-0.8014028509768352,0.228409673706443,9.0,2023.0,Middle_Mountains,2023-09-01,Monsoon
1518,-0.7175840987255442,-0.7144209032429756,0.1864282095870618,10.0,2023.0,Middle_Mountains,2023-10-01,Post-monsoon
1518,-0.3688069957855516,-0.3945594815517449,0.2066008994922909,11.0,2023.0,Middle_Mountains,2023-11-01,Post-monsoon
1518,-0.2993869445389001,-0.3007417744513718,0.2102039443134832,12.0,2023.0,Middle_Mountains,2023-12-01,Winter
1518,-0.2487942539677676,-0.2610449484413653,0.2462434813515443,1.0,2024.0,Middle_Mountains,2024-01-01,Winter
1518,-0.5456159683597543,-0.5506945875120017,0.1886122143856242,2.0,2024.0,Middle_Mountains,2024-02-01,Winter
1518,-0.5392015241275885,-0.526406856388001,0.2185935718571224,3.0,2024.0,Middle_Mountains,2024-03-01,Pre-monsoon
1518,-0.2008193407850416,-0.1911546388560284,0.3019537698673937,4.0,2024.0,Middle_Mountains,2024-04-01,Pre-monsoon
1518,-0.5144765403478117,-0.503400417589717,0.2234858110741764,5.0,2024.0,Middle_Mountains,2024-05-01,Pre-monsoon
1518,-0.6402293813757268,-0.6520914837140297,0.2452923446339865,6.0,2024.0,Middle_Mountains,2024-06-01,Monsoon
1518,-0.7615161859397173,-0.7308257256407185,0.2441922554650469,7.0,2024.0,Middle_Mountains,2024-07-01,Monsoon
1518,-0.8459931734466531,-0.8324422974166749,0.2735671693238375,8.0,2024.0,Middle_Mountains,2024-08-01,Monsoon
1518,-0.923065170035891,-0.9339969939394872,0.2089119171543594,9.0,2024.0,Middle_Mountains,2024-09-01,Monsoon
1518,-0.6559258339021993,-0.6596647649850794,0.2562482787741929,10.0,2024.0,Middle_Mountains,2024-10-01,Post-monsoon
1518,-0.2689457077353426,-0.300545909900859,0.3028213143540513,11.0,2024.0,Middle_Mountains,2024-11-01,Post-monsoon
1518,-0.1728888698118728,-0.1909497286407499,0.2914047327003627,12.0,2024.0,Middle_Mountains,2024-12-01,Winter
1518,-0.260518901263604,-0.2613130832807009,0.2966512714536181,1.0,2025.0,Middle_Mountains,2025-01-01,Winter
1518,-0.353867470728623,-0.3481431585567549,0.2614344675972034,2.0,2025.0,Middle_Mountains,2025-02-01,Winter
1518,-0.4634242926503581,-0.4565521107098094,0.208177188345093,3.0,2025.0,Middle_Mountains,2025-03-01,Pre-monsoon
1518,-0.4094315132029151,-0.4098132170506026,0.1893893373114963,4.0,2025.0,Middle_Mountains,2025-04-01,Pre-monsoon
1518,-0.7749152255127949,-0.7855011654576868,0.2155696809255952,5.0,2025.0,Middle_Mountains,2025-05-01,Pre-monsoon
1518,-0.8030891349675965,-0.8091076844631611,0.2387478916446277,6.0,2025.0,Middle_Mountains,2025-06-01,Monsoon
1518,-0.8322245865500625,-0.8317861897714959,0.2739831658823947,7.0,2025.0,Middle_Mountains,2025-07-01,Monsoon
1518,-0.7968596080581167,-0.7542288746882746,0.2768449499703299,8.0,2025.0,Middle_Mountains,2025-08-01,Monsoon
1518,-0.8904290674074259,-0.9109399408192618,0.243195868167355,9.0,2025.0,Middle_Mountains,2025-09-01,Monsoon
1518,-0.7331222303668091,-0.7698007862270644,0.2525003657588019,10.0,2025.0,Middle_Mountains,2025-10-01,Post-monsoon
1518,-0.3368291183610496,-0.3669947999745657,0.2987474440722108,11.0,2025.0,Middle_Mountains,2025-11-01,Post-monsoon
1518,0.0036858765231203,-0.0112472830872019,0.2947826260188785,12.0,2025.0,Middle_Mountains,2025-12-01,Winter
1518,-0.0696031205719056,-0.0735595445790571,0.2456719958692098,1.0,2026.0,Middle_Mountains,2026-01-01,Winter
1518,-0.4083870043238218,-0.4179074934741874,0.1941275440006112,2.0,2026.0,Middle_Mountains,2026-02-01,Winter
1518,-0.3245618372012804,-0.3483288560615872,0.2231330424375492,3.0,2026.0,Middle_Mountains,2026-03-01,Pre-monsoon
1518,-0.3058753682433507,-0.2921320984823413,0.246093571103398,4.0,2026.0,Middle_Mountains,2026-04-01,Pre-monsoon
1518,-0.4747664567887418,-0.4501043871879527,0.212385430275491,5.0,2026.0,Middle_Mountains,2026-05-01,Pre-monsoon
1518,-0.6415034697874659,-0.660745547709026,0.2544705149639479,6.0,2026.0,Middle_Mountains,2026-06-01,Monsoon
1518,-0.6196227654364744,-0.5982270195671006,0.253769356806431,7.0,2026.0,Middle_Mountains,2026-07-01,Monsoon
1518,-0.8480307205674228,-0.8055425249635538,0.4522957705555939,8.0,2026.0,Middle_Mountains,2026-08-01,Monsoon
2100,-0.9500934746567584,-0.9514038778923738,0.1279866690865715,1.0,2019.0,Siwalik,2019-01-01,Winter
2100,-1.1279204991694671,-1.1367470345858683,0.1666427545297823,2.0,2019.0,Siwalik,2019-02-01,Winter
2100,-1.0660889409543155,-1.0973002985993623,0.191934215645182,3.0,2019.0,Siwalik,2019-03-01,Pre-monsoon
2100,-1.0329459630010591,-1.0342862320909634,0.2491743045568799,4.0,2019.0,Siwalik,2019-04-01,Pre-monsoon
2100,-0.736765409371288,-0.6958780083714041,0.3637614517925809,5.0,2019.0,Siwalik,2019-05-01,Pre-monsoon
2100,-1.2345772941458928,-1.19152910381634,0.303997933307149,6.0,2019.0,Siwalik,2019-06-01,Monsoon
